1,L11,00132207F,INDUCTOR COMM 120E 400MA 25%,hh1,1
2,L57,00106568f,INDUCTOR CHIP 2.2UH 3A 20%,hh1,2
3,L21/L22,00133042F,INDUCTOR CHIP 3.3UH 1.5A 20%,hh1,3
4,L15,00138541F,INDUCTOR PWR 3.3UH 4.95A 30% 6,hh1,4
5,L1,00032988N,INDUCTOR CHIP 2.2UH 8A 20%,hh1,5
6,L5/L6,00130772F,INDUCTOR CHIP 2.2UH 320MA 2% 06,hh1,6
7,L12,00079032F,INDUCTOR COMM 370 OHM 280MA 25,hh1,7
8,L23,00066652F,INDUCTOR CHIP 47UH 3.0A 20% SM,hh1,8
9,L9,00140193F,INDUCTOR PWR 1.2UH 6.5A 20% 6X5,hh1,9
10,L25,00154717F,INDUCTOR CHIP 22UH 280MA 20% 2X2,hh1,10
11,L21,00142282F,INDUCTOR PWR 15UH 0.85A 20% 6X6,hh1,11
12,L8/L9/L10,00086960F,INDUCTOR CHIP 2.2UH 1.6A 30% 12,hh1,12
13,L1/L2/L11,00115443F,INDUCTOR CHIP 15UH 2A 20% PWR S,hh1,13
14,L13,00133045F,INDUCTOR CHIP 4.7UH 1.9A 20%,hh1,14
15,NA,00085369F,INDUCTOR PWR 4.7UH 1.7A 20% SMD,hh1,15
16,NA,00088096F,INDUCTOR CHIP 2.2UH 5.8A 20% 2,hh1,16
17,___________,00113677F,IC FLASH SER SPI 128M X1/X4 DF,hh1,17
18,CR1,00070675F,LED 45MCD 2.2/20 120DEG,hh1,18
19,U18,00120566F,IC CONV 4.5-18VIN 2A QFN 16,hh1,19
20,U3,00150910F,IC BRIDGE USB2-4XSPI/I2C QFN 32,hh1,20
21,CR20/CR21,00128747F,ZENER DIODE 5.6V 1W POWERDI-,hh1,21
22,U5,00119567F,IC CONV BUCK DDR 3A 4MHZ QFN 24,hh1,22
23,U12,00122419F,IC MONITOR POW SUP SEQUEN QFN 3,hh1,23
24,U58,00083416F,IC SWITCH 1:2 MUX USB PQFP 10,hh1,24
25,U100/U106,00092452F,IC SWITCH PWRX1 1.2A LIMIT SOT2,hh1,25
